N,coverage,match_level,ethnicity,model_variant
682607.1834272379,0.999987729213257,8of8,Chinese,same_ethnicity
731680.7143427192,0.999991711078538,8of8,Chinese,same_ethnicity
784282.2061337682,0.9999944266335307,8of8,Chinese,same_ethnicity
840665.2885618317,0.9999962658885657,8of8,Chinese,same_ethnicity
901101.8251665018,0.9999975060277122,8of8,Chinese,same_ethnicity
965883.2241158709,0.9999983402226551,8of8,Chinese,same_ethnicity
1035321.8432956616,0.9999989008106508,8of8,Chinese,same_ethnicity
1109752.496412072,0.999999277258894,8of8,Chinese,same_ethnicity
1189534.0673703207,0.999999529571577,8of8,Chinese,same_ethnicity
1275051.2407130129,0.9999996979239364,8of8,Chinese,same_ethnicity
1366716.3564620046,0.9999998093352827,8of8,Chinese,same_ethnicity
1464971.3983072848,0.9999998821389853,8of8,Chinese,same_ethnicity
1570290.1247293775,0.9999999288982224,8of8,Chinese,same_ethnicity
1683180.353330955,0.9999999582805372,8of8,Chinese,same_ethnicity
1804186.409392072,0.9999999762669675,8of8,Chinese,same_ethnicity
1933891.750455232,0.9999999869507707,8of8,Chinese,same_ethnicity
2072921.77959537,0.9999999930861453,8of8,Chinese,same_ethnicity
2221946.8609395237,0.9999999964808105,8of8,Chinese,same_ethnicity
2381685.5519761606,0.9999999982844492,8of8,Chinese,same_ethnicity
2552908.0682395166,0.9999999992016424,8of8,Chinese,same_ethnicity
2736439.9970746664,0.9999999996465406,8of8,Chinese,same_ethnicity
2933166.2783900425,0.9999999998516635,8of8,Chinese,same_ethnicity
3144035.4715915,0.9999999999412201,8of8,Chinese,same_ethnicity
3370064.3292719247,0.9999999999780992,8of8,Chinese,same_ethnicity
3612342.6997094303,0.9999999999923619,8of8,Chinese,same_ethnicity
3872038.781812557,0.9999999999975187,8of8,Chinese,same_ethnicity
4150404.7578504723,0.999999999999253,8of8,Chinese,same_ethnicity
4448782.831127585,0.9999999999997928,8of8,Chinese,same_ethnicity
4768611.697714474,0.9999999999999474,8of8,Chinese,same_ethnicity
5111433.483440165,0.9999999999999879,8of8,Chinese,same_ethnicity
5478901.179593934,0.9999999999999976,8of8,Chinese,same_ethnicity
