ethnicity,locus,allele,frequency,n_alleles
Chinese,HLA-A,26:01,0.023536036036036035,88800
Chinese,HLA-A,31:01,0.019200450450450452,88800
Chinese,HLA-A,30:01,0.01570945945945946,88800
Chinese,HLA-A,01:01,0.006768018018018018,88800
Chinese,HLA-A,03:01,0.006407657657657657,88800
Chinese,HLA-A,24:07,0.005709459459459459,88800
Chinese,HLA-A,29:01,0.004515765765765766,88800
Chinese,HLA-A,32:01,0.0036486486486486487,88800
Chinese,HLA-A,24:10,0.0027815315315315317,88800
Chinese,HLA-A,34:01,0.0021846846846846845,88800
Chinese,HLA-A,68:01,0.0019481981981981982,88800
Chinese,HLA-A,74:01,0.0014977477477477478,88800
Chinese,HLA-A,24:03,0.0013963963963963964,88800
Chinese,HLA-A,24:20,0.0013513513513513514,88800
Chinese,HLA-A,02:10,0.0006081081081081081,88800
Chinese,HLA-A,23:01,0.0005518018018018018,88800
Chinese,HLA-A,02:05,0.00039414414414414413,88800
Chinese,HLA-A,02:11,0.0003490990990990991,88800
Chinese,HLA-A,03:02,0.0002027027027027027,88800
Chinese,HLA-A,29:02,0.0002027027027027027,88800
Chinese,HLA-A,33:01,0.00016891891891891893,88800
Chinese,HLA-A,02:53N,0.00016891891891891893,88800
Chinese,HLA-A,66:01,0.00015765765765765765,88800
Chinese,HLA-A,24:64,0.0001463963963963964,88800
Chinese,HLA-A,24:08,0.00013513513513513514,88800
Chinese,HLA-A,01:03,0.00012387387387387388,88800
Chinese,HLA-A,69:01,0.00011261261261261261,88800
Chinese,HLA-A,74:05,0.00010135135135135135,88800
Chinese,HLA-A,30:04,6.756756756756757e-05,88800
Chinese,HLA-A,68:02,6.756756756756757e-05,88800
Chinese,HLA-A,11:03,5.630630630630631e-05,88800
Chinese,HLA-A,24:CHJZX,5.630630630630631e-05,88800
Chinese,HLA-A,26:03,5.630630630630631e-05,88800
Chinese,HLA-A,26:50,5.630630630630631e-05,88800
Chinese,HLA-A,02:28,4.5045045045045046e-05,88800
Chinese,HLA-A,24:68,4.5045045045045046e-05,88800
Chinese,HLA-A,11:04,4.5045045045045046e-05,88800
Chinese,HLA-A,30:02,4.5045045045045046e-05,88800
Chinese,HLA-A,26:35,4.5045045045045046e-05,88800
Chinese,HLA-A,02:46,3.3783783783783784e-05,88800
Chinese,HLA-A,24:05,3.3783783783783784e-05,88800
Chinese,HLA-A,31:13,3.3783783783783784e-05,88800
Chinese,HLA-A,33:CAUVS,3.3783783783783784e-05,88800
Chinese,HLA-A,02:48,2.2522522522522523e-05,88800
Chinese,HLA-A,24:194,2.2522522522522523e-05,88800
Chinese,HLA-A,03:12,2.2522522522522523e-05,88800
Chinese,HLA-A,11:56,2.2522522522522523e-05,88800
Chinese,HLA-A,11:41,2.2522522522522523e-05,88800
Chinese,HLA-A,02:CHJZW,2.2522522522522523e-05,88800
Chinese,HLA-A,02:53,2.2522522522522523e-05,88800
Chinese,HLA-A,24:128,2.2522522522522523e-05,88800
Chinese,HLA-A,30:16,2.2522522522522523e-05,88800
Chinese,HLA-A,26:46,2.2522522522522523e-05,88800
Chinese,HLA-A,25:01,2.2522522522522523e-05,88800
Chinese,HLA-A,24:04,2.2522522522522523e-05,88800
Chinese,HLA-A,23:26,1.1261261261261261e-05,88800
Chinese,HLA-A,02:56,1.1261261261261261e-05,88800
Chinese,HLA-A,02:116,1.1261261261261261e-05,88800
Chinese,HLA-A,24:17,1.1261261261261261e-05,88800
Chinese,HLA-A,02:715N,1.1261261261261261e-05,88800
Chinese,HLA-A,02:611,1.1261261261261261e-05,88800
Chinese,HLA-A,02:16,1.1261261261261261e-05,88800
Chinese,HLA-A,11:CKYAB,1.1261261261261261e-05,88800
Chinese,HLA-A,02:CAVH,1.1261261261261261e-05,88800
Chinese,HLA-A,11:CWKWR,1.1261261261261261e-05,88800
Chinese,HLA-A,24:CAVJJ,1.1261261261261261e-05,88800
Chinese,HLA-A,31:CVHTM,1.1261261261261261e-05,88800
Chinese,HLA-A,24:255,1.1261261261261261e-05,88800
Chinese,HLA-A,11:85,1.1261261261261261e-05,88800
Chinese,HLA-A,24:85,1.1261261261261261e-05,88800
Chinese,HLA-A,24:151,1.1261261261261261e-05,88800
Chinese,HLA-A,34:05,1.1261261261261261e-05,88800
Chinese,HLA-A,24:121,1.1261261261261261e-05,88800
Chinese,HLA-A,24:30,1.1261261261261261e-05,88800
Chinese,HLA-A,30:18,1.1261261261261261e-05,88800
Chinese,HLA-A,68:24,1.1261261261261261e-05,88800
Chinese,HLA-A,11:242,1.1261261261261261e-05,88800
Chinese,HLA-A,24:59,1.1261261261261261e-05,88800
Chinese,HLA-A,33:AUTWN,1.1261261261261261e-05,88800
Chinese,HLA-A,11:CAVJD,1.1261261261261261e-05,88800
Chinese,HLA-A,33:XX,1.1261261261261261e-05,88800
Chinese,HLA-A,24:XX,1.1261261261261261e-05,88800
Chinese,HLA-A,11:CVHTA,1.1261261261261261e-05,88800
Chinese,HLA-B,40:01,0.19149774774774775,88800
Chinese,HLA-B,46:01,0.12906531531531532,88800
Chinese,HLA-B,58:01,0.10984234234234234,88800
Chinese,HLA-B,13:01,0.06879504504504505,88800
Chinese,HLA-B,15:02,0.059144144144144144,88800
Chinese,HLA-B,51:01,0.044155405405405405,88800
Chinese,HLA-B,38:02,0.04224099099099099,88800
Chinese,HLA-B,15:01,0.035405405405405405,88800
Chinese,HLA-B,54:01,0.03188063063063063,88800
Chinese,HLA-B,55:02,0.029740990990990993,88800
Chinese,HLA-B,27:04,0.025731981981981983,88800
Chinese,HLA-B,35:01,0.022105855855855856,88800
Chinese,HLA-B,39:01,0.021283783783783785,88800
Chinese,HLA-B,13:02,0.017015765765765765,88800
Chinese,HLA-B,40:02,0.015394144144144145,88800
Chinese,HLA-B,51:02,0.013648648648648648,88800
Chinese,HLA-B,40:06,0.0109009009009009,88800
Chinese,HLA-B,48:01,0.009650900900900901,88800
Chinese,HLA-B,52:01,0.009391891891891891,88800
Chinese,HLA-B,15:27,0.008310810810810811,88800
Chinese,HLA-B,44:03,0.007477477477477477,88800
Chinese,HLA-B,15:25,0.006711711711711712,88800
Chinese,HLA-B,56:01,0.006655405405405405,88800
Chinese,HLA-B,15:11,0.005934684684684685,88800
Chinese,HLA-B,07:05,0.0059121621621621625,88800
Chinese,HLA-B,15:18,0.00572072072072072,88800
Chinese,HLA-B,35:05,0.005078828828828829,88800
Chinese,HLA-B,35:03,0.004988738738738739,88800
Chinese,HLA-B,15:12,0.004481981981981982,88800
Chinese,HLA-B,37:01,0.003975225225225225,88800
Chinese,HLA-B,48:03,0.0032094594594594596,88800
Chinese,HLA-B,18:01,0.0029054054054054052,88800
Chinese,HLA-B,67:01,0.0029054054054054052,88800
Chinese,HLA-B,08:01,0.002635135135135135,88800
Chinese,HLA-B,18:02,0.0023873873873873873,88800
Chinese,HLA-B,07:02,0.002331081081081081,88800
Chinese,HLA-B,57:01,0.00231981981981982,88800
Chinese,HLA-B,56:03,0.00231981981981982,88800
Chinese,HLA-B,44:02,0.002060810810810811,88800
Chinese,HLA-B,38:01,0.002060810810810811,88800
Chinese,HLA-B,81:01,0.0016554054054054054,88800
Chinese,HLA-B,15:13,0.0014076576576576576,88800
Chinese,HLA-B,56:04,0.0014076576576576576,88800
Chinese,HLA-B,39:05,0.001385135135135135,88800
Chinese,HLA-B,15:21,0.0013513513513513514,88800
Chinese,HLA-B,51:07,0.001328828828828829,88800
Chinese,HLA-B,27:05,0.0011486486486486486,88800
Chinese,HLA-B,27:06,0.0011261261261261261,88800
Chinese,HLA-B,50:01,0.001036036036036036,88800
Chinese,HLA-B,40:03,0.0008445945945945946,88800
Chinese,HLA-B,39:09,0.0007995495495495495,88800
Chinese,HLA-B,55:04,0.0007545045045045045,88800
Chinese,HLA-B,45:01,0.0007432432432432432,88800
Chinese,HLA-B,15:07,0.0007094594594594595,88800
Chinese,HLA-B,35:02,0.0005405405405405405,88800
Chinese,HLA-B,55:01,0.000518018018018018,88800
Chinese,HLA-B,15:35,0.0004842342342342342,88800
Chinese,HLA-B,15:03,0.0004617117117117117,88800
Chinese,HLA-B,55:12,0.0003716216216216216,88800
Chinese,HLA-B,27:07,0.00036036036036036037,88800
Chinese,HLA-B,15:17,0.0003490990990990991,88800
Chinese,HLA-B,15:32,0.0002927927927927928,88800
Chinese,HLA-B,15:58,0.0002702702702702703,88800
Chinese,HLA-B,35:30,0.00018018018018018018,88800
Chinese,HLA-B,14:02,0.00015765765765765765,88800
Chinese,HLA-B,51:06,0.0001463963963963964,88800
Chinese,HLA-B,39:15,0.0001463963963963964,88800
Chinese,HLA-B,35:08,0.00013513513513513514,88800
Chinese,HLA-B,27:15,0.00013513513513513514,88800
Chinese,HLA-B,41:01,0.00013513513513513514,88800
Chinese,HLA-B,15:05,0.00012387387387387388,88800
Chinese,HLA-B,15:46,0.00012387387387387388,88800
Chinese,HLA-B,49:01,0.00012387387387387388,88800
Chinese,HLA-B,40:48,0.00010135135135135135,88800
