N,coverage,match_level,ethnicity,model_variant
45529.35074866948,0.3298913067266594,8of8,Chinese,same_ethnicity
48802.515836544335,0.3370948298439369,8of8,Chinese,same_ethnicity
52310.993080562585,0.3443510487920238,8of8,Chinese,same_ethnicity
56071.69938205458,0.3516577865860472,8of8,Chinese,same_ethnicity
60102.76782070388,0.35901285011874107,8of8,Chinese,same_ethnicity
64423.635087213705,0.3664140260082485,8of8,Chinese,same_ethnicity
69055.13520162331,0.3738590751624591,8of8,Chinese,same_ethnicity
74019.59996915638,0.3813457265354637,8of8,Chinese,same_ethnicity
79340.96665797492,0.3888716705930448,8of8,Chinese,same_ethnicity
85044.89341802668,0.3964345530098847,8of8,Chinese,same_ethnicity
91158.88299750819,0.40403196909636574,8of8,Chinese,same_ethnicity
97712.41535346501,0.4116614594030406,8of8,Chinese,same_ethnicity
104737.08979594486,0.41932050688088063,8of8,Chinese,same_ethnicity
112266.77735108136,0.4270065358878544,8of8,Chinese,same_ethnicity
120337.78407775905,0.43471691322815126,8of8,Chinese,same_ethnicity
128989.02612533081,0.44244895129018436,8of8,Chinese,same_ethnicity
138262.21737646536,0.4501999132165333,8of8,Chinese,same_ethnicity
148202.070579886,0.4579670199006539,8of8,Chinese,same_ethnicity
158856.51294280528,0.4657474584734714,8of8,Chinese,same_ethnicity
170276.91722258978,0.473538391832446,8of8,Chinese,same_ethnicity
182518.34943190424,0.48133696869010534,8of8,Chinese,same_ethnicity
195639.8343517065,0.4891403335879448,8of8,Chinese,same_ethnicity
209704.64013232305,0.4969456363380197,8of8,Chinese,same_ethnicity
224780.58335487253,0.5047500404147798,8of8,Chinese,same_ethnicity
240940.35602395269,0.5125507299148873,8of8,Chinese,same_ethnicity
258261.87606826748,0.520344914821283,8of8,Chinese,same_ethnicity
276828.6630392061,0.5281298344378713,8of8,Chinese,same_ethnicity
296730.24081888725,0.5359027589926151,8of8,Chinese,same_ethnicity
318062.5692794119,0.5436609895316558,8of8,Chinese,same_ethnicity
340928.50697468076,0.5514018563393137,8of8,Chinese,same_ethnicity
365438.30709572544,0.5591227162137528,8of8,Chinese,same_ethnicity
391710.1490809261,0.5668209490013243,8of8,Chinese,same_ethnicity
419870.70844439056,0.5744939538395204,8of8,Chinese,same_ethnicity
450055.76757004973,0.5821391455747589,8of8,Chinese,same_ethnicity
482410.8704165374,0.5897539518037616,8of8,Chinese,same_ethnicity
517092.0242896755,0.5973358109355136,8of8,Chinese,same_ethnicity
554266.4520663096,0.6048821715877379,8of8,Chinese,same_ethnicity
594113.3984965039,0.6123904935242366,8of8,Chinese,same_ethnicity
636824.9944718586,0.6198582502172173,8of8,Chinese,same_ethnicity
682607.1834272379,0.6272829329932836,8of8,Chinese,same_ethnicity
731680.7143427192,0.6346620566047393,8of8,Chinese,same_ethnicity
784282.2061337682,0.641993165969655,8of8,Chinese,same_ethnicity
840665.2885618317,0.649273843752891,8of8,Chinese,same_ethnicity
901101.8251665018,0.6565017184211994,8of8,Chinese,same_ethnicity
965883.2241158709,0.663674472400229,8of8,Chinese,same_ethnicity
1035321.8432956616,0.6707898499874309,8of8,Chinese,same_ethnicity
1109752.496412072,0.6778456647262385,8of8,Chinese,same_ethnicity
1189534.0673703207,0.6848398060142473,8of8,Chinese,same_ethnicity
1275051.2407130129,0.6917702447906401,8of8,Chinese,same_ethnicity
1366716.3564620046,0.698635038215542,8of8,Chinese,same_ethnicity
1464971.3983072848,0.7054323333082418,8of8,Chinese,same_ethnicity
1570290.1247293775,0.7121603695477247,8of8,Chinese,same_ethnicity
1683180.353330955,0.7188174804566362,8of8,Chinese,same_ethnicity
1804186.409392072,0.7254020941908664,8of8,Chinese,same_ethnicity
1933891.750455232,0.7319127331460514,8of8,Chinese,same_ethnicity
2072921.77959537,0.7383480125757578,8of8,Chinese,same_ethnicity
2221946.8609395237,0.7447066382015733,8of8,Chinese,same_ethnicity
2381685.5519761606,0.7509874027909806,8of8,Chinese,same_ethnicity
2552908.0682395166,0.757189181692883,8of8,Chinese,same_ethnicity
2736439.9970746664,0.7633109273595017,8of8,Chinese,same_ethnicity
2933166.2783900425,0.7693516629500705,8of8,Chinese,same_ethnicity
3144035.4715915,0.7753104752037409,8of8,Chinese,same_ethnicity
3370064.3292719247,0.7811865068765429,8of8,Chinese,same_ethnicity
3612342.6997094303,0.7869789491432143,8of8,Chinese,same_ethnicity
3872038.781812557,0.7926870344471719,8of8,Chinese,same_ethnicity
4150404.7578504723,0.7983100303181921,8of8,Chinese,same_ethnicity
4448782.831127585,0.8038472346500676,8of8,Chinese,same_ethnicity
4768611.697714474,0.8092979728332684,8of8,Chinese,same_ethnicity
5111433.483440165,0.8146615969789353,8of8,Chinese,same_ethnicity
5478901.179593934,0.8199374872733062,8of8,Chinese,same_ethnicity
5872786.613189477,0.8251250552987748,8of8,Chinese,same_ethnicity
6294988.990221888,0.8302237489834045,8of8,Chinese,same_ethnicity
6747544.053110686,0.8352330587215705,8of8,Chinese,same_ethnicity
7232633.896483534,0.8401525241565343,8of8,Chinese,same_ethnicity
7752597.488629464,0.844981741126938,8of8,Chinese,same_ethnicity
8309941.949353387,0.8497203683363956,8of8,Chinese,same_ethnicity
8907354.63861044,0.8543681333861743,8of8,Chinese,same_ethnicity
9547716.114208067,0.8589248378961031,8of8,Chinese,same_ethnicity
10234114.021054527,0.8633903615173714,8of8,Chinese,same_ethnicity
10969857.97892384,0.86776466471113,8of8,Chinese,same_ethnicity
11758495.540521558,0.8720477902327969,8of8,Chinese,same_ethnicity
12603829.296797274,0.8762398633276557,8of8,Chinese,same_ethnicity
13509935.211980252,0.8803410907082728,8of8,Chinese,same_ethnicity
14481182.27674533,0.8843517584423726,8of8,Chinese,same_ethnicity
15522253.57427048,0.8882722289224747,8of8,Chinese,same_ethnicity
16638168.860761274,0.892102937109412,8of8,Chinese,same_ethnicity
17834308.769319095,0.8958443862408035,8of8,Chinese,same_ethnicity
19116440.753856998,0.899497143180104,8of8,Chinese,same_ethnicity
20490746.89815846,0.9030618335638388,8of8,Chinese,same_ethnicity
21963853.72416547,0.9065391368950755,8of8,Chinese,same_ethnicity
23542864.143224154,0.9099297817350047,8of8,Chinese,same_ethnicity
25235391.70434766,0.9132345411580178,8of8,Chinese,same_ethnicity
27049597.304631315,0.9164542286477506,8of8,Chinese,same_ethnicity
28994228.538828753,0.9195896946081995,8of8,Chinese,same_ethnicity
31078661.877820138,0.9226418236338475,8of8,Chinese,same_ethnicity
33312947.879346702,0.925611532621829,8of8,Chinese,same_ethnicity
35707859.64900462,0.92849976972275,8of8,Chinese,same_ethnicity
38274944.785163075,0.9313075140281509,8of8,Chinese,same_ethnicity
41026581.0582719,0.9340357757992984,8of8,Chinese,same_ethnicity
43976036.09302721,0.9366855969712764,8of8,Chinese,same_ethnicity
47137531.34116719,0.9392580516311863,8of8,Chinese,same_ethnicity
50526310.6533568,0.9417542461758667,8of8,Chinese,same_ethnicity
54158713.78079465,0.9441753189019529,8of8,Chinese,same_ethnicity
58052255.160948955,0.9465224388619898,8of8,Chinese,same_ethnicity
62225708.36730231,0.9487968039228301,8of8,Chinese,same_ethnicity
66699196.63030115,0.9509996380722231,8of8,Chinese,same_ethnicity
71494289.86597577,0.9531321881210277,8of8,Chinese,same_ethnicity
76634108.68007447,0.9551957200276529,8of8,Chinese,same_ethnicity
82143435.84919421,0.9571915151168393,8of8,Chinese,same_ethnicity
88048835.81643465,0.9591208664703296,8of8,Chinese,same_ethnicity
94378782.77775371,0.9609850757324104,8of8,Chinese,same_ethnicity
101163797.9766207,0.9627854505057676,8of8,Chinese,same_ethnicity
108436596.86896087,0.9645233024255837,8of8,Chinese,same_ethnicity
116232246.86798495,0.9661999459084333,8of8,Chinese,same_ethnicity
124588336.42950082,0.9678166974928097,8of8,Chinese,same_ethnicity
133545156.29298975,0.9693748756312501,8of8,Chinese,same_ethnicity
143145893.75234815,0.9708758007645844,8of8,Chinese,same_ethnicity
153436840.89300132,0.972320795504705,8of8,Chinese,same_ethnicity
164467617.79946628,0.9737111847664065,8of8,Chinese,same_ethnicity
176291411.80959442,0.9750482957125909,8of8,Chinese,same_ethnicity
188965233.96912038,0.9763334574032503,8of8,Chinese,same_ethnicity
202550193.92306665,0.977568000063359,8of8,Chinese,same_ethnicity
217111794.56945008,0.9787532539083621,8of8,Chinese,same_ethnicity
232720247.8960412,0.979890547491286,8of8,Chinese,same_ethnicity
249450813.52303165,0.9809812055663119,8of8,Chinese,same_ethnicity
267384161.5839944,0.9820265465020477,8of8,Chinese,same_ethnicity
286606761.69482446,0.9830278793227916,8of8,Chinese,same_ethnicity
307211299.8861747,0.9839865005031269,8of8,Chinese,same_ethnicity
329297125.5097148,0.9849036906827376,8of8,Chinese,same_ethnicity
352970730.27306575,0.985780711495649,8of8,Chinese,same_ethnicity
378346261.7131933,0.9866188027137661,8of8,Chinese,same_ethnicity
405546073.5840828,0.9874191798847237,8of8,Chinese,same_ethnicity
434701315.8125017,0.988183032599925,8of8,Chinese,same_ethnicity
465952566.86646676,0.9889115234666925,8of8,Chinese,same_ethnicity
499450511.585514,0.9896057877889991,8of8,Chinese,same_ethnicity
535356667.7410719,0.9902669338958945,8of8,Chinese,same_ethnicity
573844164.8302405,0.9908960440055353,8of8,Chinese,same_ethnicity
615098578.8580505,0.9914941754818132,8of8,Chinese,same_ethnicity
659318827.1333542,0.9920623623312259,8of8,Chinese,same_ethnicity
706718127.3927476,0.992601616796699,8of8,Chinese,same_ethnicity
