sample_id,cluster,pc1,pc2
BMDP_OUT_11754,Cluster_3,0.0775225683199414,-0.1367687713467677
BMDP_OUT_11774,Cluster_1,0.6142030819186066,-0.21607158279812055
BMDP_OUT_11775,Cluster_3,0.26609070423921133,-0.7718188805454415
BMDP_OUT_11776,Cluster_2,0.294390544447649,0.3296494649687304
BMDP_OUT_11777,Cluster_1,0.5146743669121541,-0.49537771888341975
BMDP_OUT_11778,Cluster_3,-0.418733714667072,-0.4336373401710393
BMDP_OUT_11779,Cluster_1,1.2550246715237319,0.19829000651868933
BMDP_OUT_11780,Cluster_2,0.24984723752397373,0.7008334141668955
BMDP_OUT_11781,Cluster_1,1.057264603041098,0.2981686937485289
BMDP_OUT_11782,Cluster_3,-0.04710369525874733,-0.6176643182726999
BMDP_OUT_11783,Cluster_1,0.7614960911742295,0.021392174287416812
BMDP_OUT_11784,Cluster_2,-0.4344368534151206,0.2166697002374368
BMDP_OUT_11785,Cluster_2,-0.18861458566399167,0.1460618077052317
BMDP_OUT_11786,Cluster_2,0.07041707186873546,1.3263137943211596
BMDP_OUT_11787,Cluster_2,-0.06522754943270151,0.5304417135340931
BMDP_OUT_11788,Cluster_3,0.2101966926531575,-0.4350478392194912
BMDP_OUT_11789,Cluster_3,0.3067184810189136,0.06866264744640248
BMDP_OUT_11790,Cluster_3,0.5634042862689024,-0.6481558419114087
BMDP_OUT_11851,Cluster_1,0.4787817539527738,0.7045774871623149
BMDP_OUT_11892,Cluster_2,-0.136721062885901,0.49418541806177585
BMDP_OUT_11893,Cluster_2,-0.3801149207812823,-0.035190746046210766
BMDP_OUT_11894,Cluster_1,0.3904863698317983,0.8039200276499933
BMDP_OUT_11895,Cluster_3,-0.645676251959553,-0.9647926106303495
BMDP_OUT_11896,Cluster_3,-0.37015943910479465,-0.3479390715661232
BMDP_OUT_11897,Cluster_1,0.48624502674979475,-0.7781561993846435
BMDP_OUT_11898,Cluster_1,1.0203203734153738,0.1958276126054242
BMDP_OUT_11899,Cluster_3,-0.3364194961426217,-0.9702975575828249
BMDP_OUT_11900,Cluster_2,-0.5746349406730774,-0.05985504606820878
BMDP_OUT_11901,Cluster_3,-0.4915004469765004,-1.3169274624051055
BMDP_OUT_11902,Cluster_3,-0.6548948658605246,-0.5340920744615243
BMDP_OUT_11903,Cluster_2,-0.24283798948379717,-0.0360101517576798
BMDP_OUT_11904,Cluster_3,0.13063194205506962,-0.5569248460904642
BMDP_OUT_11905,Cluster_3,-0.3818643087679232,-0.13015990932799557
BMDP_OUT_11906,Cluster_1,1.8973010144206233,0.6233888575894677
BMDP_OUT_11907,Cluster_3,-0.2998132047239074,-0.685137144824601
BMDP_OUT_1201,Cluster_2,-1.0300783949766188,0.25881644173286456
BMDP_OUT_1202,Cluster_3,-0.2593662733283657,-0.5095537537259337
BMDP_OUT_1203,Cluster_3,-0.43269526611813536,-0.9689619214871407
BMDP_OUT_1204,Cluster_3,-0.06248097037438366,-0.4514453639611276
BMDP_OUT_1205,Cluster_2,-0.6231268943646552,0.7291181425023072
BMDP_OUT_1206,Cluster_2,-0.717668477275832,0.4384916889362188
BMDP_OUT_1207,Cluster_3,0.1754046287935121,-0.074635024692503
BMDP_OUT_1208,Cluster_2,-1.012430252688307,0.48254511117804
BMDP_OUT_1209,Cluster_1,1.1879950781767132,0.9887981753659575
BMDP_OUT_1210,Cluster_2,-0.2506222509203476,0.5568870176050993
BMDP_OUT_1212,Cluster_1,0.8879862388369038,0.08477922581943793
BMDP_OUT_1213,Cluster_3,0.3211051603285203,-0.5023551654067028
BMDP_OUT_1214,Cluster_1,1.5820594771918381,0.49721691296536796
BMDP_OUT_1215,Cluster_2,-0.3210624523005341,0.5336062342033719
BMDP_OUT_1216,Cluster_3,0.10974584953321108,-0.38376952791827906
BMDP_OUT_12161,Cluster_2,-1.1805445877350573,0.6201143017160712
BMDP_OUT_12162,Cluster_3,0.1308262934269053,-0.64534193594968
BMDP_OUT_12163,Cluster_2,-0.9728353962805005,0.895921345013163
BMDP_OUT_12277,Cluster_3,-0.3307706475066776,-0.44389600206180646
BMDP_OUT_12278,Cluster_2,-0.8926108790925955,1.0245348790750972
BMDP_OUT_12279,Cluster_3,-0.7941576431358782,-0.21780627930409385
BMDP_OUT_12298,Cluster_2,0.0023240198338075335,0.6893425553080709
BMDP_OUT_12299,Cluster_1,1.0172445401184158,0.030812269872187034
BMDP_OUT_12300,Cluster_1,1.2814511948512628,-0.34721105764878607
BMDP_OUT_12301,Cluster_3,0.3469579096906753,-0.7024171011757091
BMDP_OUT_12302,Cluster_2,-0.18749653751435227,0.3749938665020411
BMDP_OUT_12303,Cluster_1,0.9859649572284361,1.0630864986278943
BMDP_OUT_12304,Cluster_3,0.4593873948274234,-0.023519015176735672
BMDP_OUT_12305,Cluster_1,0.743618344940519,0.5290309290206725
BMDP_OUT_12306,Cluster_1,1.0314824218594372,-0.017196553194437095
BMDP_OUT_12307,Cluster_2,-0.3309815297317149,0.2783536102666565
BMDP_OUT_12308,Cluster_1,0.8967826012770606,-0.06776070243428767
BMDP_OUT_12309,Cluster_1,1.559754297995518,-0.29578318497572703
BMDP_OUT_12310,Cluster_1,1.2579681609974271,0.10217649928380527
BMDP_OUT_12311,Cluster_2,0.20122792207830212,0.5727485721891796
BMDP_OUT_12312,Cluster_1,1.2847395389124727,1.0994413971235668
BMDP_OUT_12313,Cluster_3,0.2674428165905631,-0.3737437100629538
BMDP_OUT_12314,Cluster_3,0.3653238301988614,-0.7102619250197848
BMDP_OUT_12315,Cluster_3,0.045495527972789995,-0.6832674805197142
BMDP_OUT_1234,Cluster_3,0.5191689172590731,-0.6520256236695027
BMDP_OUT_1235,Cluster_1,1.0816665248292288,0.3531648927340763
BMDP_OUT_12403,Cluster_2,-0.030954755695214414,0.506158740576164
BMDP_OUT_12404,Cluster_3,0.17733631195676208,-0.05138139115572215
BMDP_OUT_12405,Cluster_3,0.11649724465824976,-0.40388791920014083
